id,nome,categoria,indirizzo,telefono,sito,rating,recensioni,stato,lat,lng,tipo_google,score
ChIJ5yesWAw05xIR5GgLpjIyWVQ,bertolashop,Abbigliamento,"Via Giuseppe Garibaldi, 134, 09127 Cagliari CA",070 665800,,4.4,134,OPERATIONAL,39.216863499999995,9.1191631,clothing_store,100
ChIJV9XLYTk15xIR4uj_dz1hUdI,Tendenze,Abbigliamento,"Via Roma, 157, 09124 Cagliari CA",351 127 2354,,4.2,75,OPERATIONAL,39.2155728,9.109813599999999,clothing_store,100
ChIJr2iOmus15xIRjhf4tOEZSI4,SoloCOMFORT-calzature-Valleverde_Callaghan_Igi&Co,Scarpe,"Via Francesco Crispi, 9/11, 09124 Cagliari CA",070 660767,,4.2,67,OPERATIONAL,39.2154889,9.1109514,shoe_store,100
ChIJvdImVCA05xIRNs6x__vYqqQ,Cenerentola Calzature Di Salvatore Mocci,Scarpe,"Via Monte Santo, 54, 09122 Cagliari CA",070 204 0100,,4.9,176,OPERATIONAL,39.2358337,9.1040941,shoe_store,100
ChIJ1bdYx4I15xIRFWxCC6vmdU4,Ice Stop (Marina) Gelateria Artigianale,Gelateria,"Via Lodovico Baylle, 18, 09124 Cagliari CA",070 205 7397,,4.9,275,OPERATIONAL,39.2147566,9.1121471,ice_cream_shop,100
ChIJWVu9uQg05xIR6jyYbkxGmHM,Gli Stefini - Artigiani del Gelato,Gelateria,"Via Giuseppe Garibaldi, 194, 09127 Cagliari CA",070 205 1046,,4.5,832,OPERATIONAL,39.21772730000001,9.1196501,ice_cream_shop,100
ChIJV5Gf_IA15xIRrOd0_xt5h9k,Casti Pasticceria Gelateria,Gelateria,"Via Roma, 123, 09124 Cagliari CA",070 1525 7546,,4.6,445,OPERATIONAL,39.2145424,9.1116452,pastry_shop,100
ChIJsahAGAY05xIR_IIWHOBK0fQ,Cremoso Dolci Emozioni Cagliari,Gelateria,"Piazza Martiri D'Italia, 1, 09124 Cagliari CA",070 251 0051,,4.3,528,OPERATIONAL,39.215507099999996,9.1161853,ice_cream_shop,100
ChIJwZzM-gw05xIRbdtMWoE6SDA,Likitta,Gelateria,"Piazza Giuseppe Garibaldi, 27, 09127 Cagliari CA",070 751 4822,,4.4,779,OPERATIONAL,39.2187805,9.1213816,ice_cream_shop,100
ChIJ9wTv63I05xIRyG6m7lUDFrU,Gelateria Artigianale Ice Stop,Gelateria,"Via Dante Alighieri, 65/A, 09128 Cagliari CA",070 494516,,4.4,674,OPERATIONAL,39.220137199999996,9.1251763,ice_cream_shop,100
ChIJbZ-6cFU15xIR86yzFmk4lZw,Sugelau,Gelateria,"Via Giuseppe Manno, 70, 09124 Cagliari CA",070 858 9399,,4.4,59,OPERATIONAL,39.2165513,9.1140752,ice_cream_shop,100
ChIJXzjhL0A15xIRXns06y4hoRM,Simbua,Ristorante,"Via Sassari, 142, 09124 Cagliari CA",070 592 6535,,4.4,582,OPERATIONAL,39.2179068,9.1113695,restaurant,100
ChIJixgKyQU05xIR86NfrlbOSY4,Il Fanà,Ristorante,"Corso Vittorio Emanuele II, 99, 09124 Cagliari CA",070 680326,,4.5,851,OPERATIONAL,39.2182295,9.1112527,seafood_restaurant,100
ChIJCWScZwA15xIRI8Fk8o4z6Sw,Ristorante da Sarah cucina tipica sarda,Ristorante,"Corso Vittorio Emanuele II, 100, 09124 Cagliari CA",389 855 8754,,4.3,216,OPERATIONAL,39.218212,9.1108987,restaurant,100
ChIJtzQlUg405xIRy9jWT_YrM3g,Ristorante Pani e Casu Cagliari,Ristorante,"Via Santa Croce, 51, 09124 Cagliari CA",070 098 5103,,4.4,1509,OPERATIONAL,39.2193432,9.1148688,italian_restaurant,100
ChIJDy43bwA15xIRdLQxf2--J9k,Pizzeria Dadà,Pizzeria,"Via Barcellona, 23, 09124 Cagliari CA",070 649 1980,,4.7,249,OPERATIONAL,39.2142991,9.112924699999999,pizza_restaurant,100
ChIJH7z7i-E15xIRNE8_oxCIZV0,Pizzeria via XX settembre,Pizzeria,"Via XX Settembre, 66, 09125 Cagliari CA",070 876 4401,,4.8,64,OPERATIONAL,39.213259699999995,9.1187281,pizza_restaurant,100
ChIJwX7YpVjCcEARkD91BPmV-4o,Nansen,Pizzeria,"Corso Vittorio Emanuele II, 269, 09123 Cagliari CA",070 667 0335,,4.8,1248,OPERATIONAL,39.2196516,9.1087309,pizza_restaurant,100
ChIJx73S_pk15xIRPCL-K9vPSuc,Paradise Pizzeria,Pizzeria,"V. del Collegio, 2B, 09124 Cagliari CA",070 692 4240,,4.9,139,OPERATIONAL,39.214780999999995,9.114781200000001,pizza_restaurant,100
ChIJOQLV3As05xIRjbC1gYQHOo8,Pizza S' House,Pizzeria,"Via Eleonora D'Arborea, 41, 09125 Cagliari CA",070 653855,,4.8,95,OPERATIONAL,39.215495,9.1186289,pizza_restaurant,100
ChIJcV9VgMY15xIRsxzIWkqfpJA,Locanda Sa Matracca Cagliari,Pizzeria,"Via Ospedale, 20, 09123 Cagliari CA",331 801 5706,,4.6,1065,OPERATIONAL,39.2196345,9.1118905,pizza_restaurant,100
ChIJN8RcZgY05xIRIeRHnLjJvJU,Caffetteria Del Carmine,Bar,"Via Sassari, 33, 09124 Cagliari CA",070 462 9191,,4.7,796,OPERATIONAL,39.2166175,9.110360799999999,bar_and_grill,100
ChIJXeHYuQg05xIRuGosFPMvANQ,Caffetteria Tiffany,Bar,"Via Lodovico Baylle, 133, 09124 Cagliari CA",070 592 7399,,4.6,2081,OPERATIONAL,39.2166613,9.1136336,cafe,100
ChIJO1IuOwY05xIRVBac26bu5DU,Caffetteria Del Largo,Bar,"Largo Carlo Felice, 23, 09124 Cagliari CA",070 332 4138,,4.5,102,OPERATIONAL,39.2163973,9.1128492,cake_shop,100
ChIJP9iFSr015xIR71i-aYaNti8,Taddinanta Coffee & Bistrot,Bar,"Corso Vittorio Emanuele II, 248, 09123 Cagliari CA",349 214 5678,,4.8,959,OPERATIONAL,39.219389199999995,9.1091077,coffee_shop,100
ChIJDX1TXQM05xIRlDlz_Lomh1k,Caffetteria Trento,Bar,"Viale Trento, 2, 09123 Cagliari CA",070 278954,,4.5,155,OPERATIONAL,39.2221301,9.1059002,bar,100
ChIJ938NnnM05xIRjMrBGtyHKD4,Caffetteria Il Salottino,Bar,"Via Giovanni Battista Tuveri, 14b, 09129 Cagliari CA",070 759 9480,,4.7,53,OPERATIONAL,39.217355,9.126266,bar,100
ChIJqWPSogk05xIRZUTXzy92qws,Bar Nuova Firenze S.A.S Di Farci Giuseppe E Efisio,Bar,"V.le Regina Margherita, 47, 09124 Cagliari CA",070 289 0945,,4.7,111,OPERATIONAL,39.2138752,9.1166544,bar,100
ChIJ66xpSVc15xIRkjuK3_uhYnQ,Bar Tommy cagliari via Sonnino 119,Bar,"Via Sidney Sonnino, 119, 09127 Cagliari CA",342 907 5549,,4.8,102,OPERATIONAL,39.2159999,9.1207993,coffee_shop,100
ChIJV1mXGAk05xIR7CJlfq1955I,Il Caffè Letterario,Bar,"Via Giuseppe Manno, 9, 09124 Cagliari CA",070 664298,,4.5,222,OPERATIONAL,39.2158759,9.115706399999999,coffee_shop,100
ChIJ5aQrTQA15xIRNlK3bxvijzg,CAFFETTERIA PIAZZETTA MASCIA,Bar,"Via Enrico Pessina, 99, 09125 Cagliari CA",070 463 2832,,4.8,73,OPERATIONAL,39.212878100000005,9.1295405,coffee_shop,100
ChIJvZ2lXAQ05xIRXFO1VXrC3IM,Café Regio,Bar,"Corso Vittorio Emanuele II, 270, 09123 Cagliari CA",324 849 4164,,4.8,193,OPERATIONAL,39.219487799999996,9.1086304,cafe,100
ChIJ5aKi9Aw05xIRc_EswxE_NHM,Caffetteria Cois Cagliari,Bar,"Via Alghero, 9, 09127 Cagliari CA",340 418 6366,,4.6,53,OPERATIONAL,39.2180574,9.1207345,bistro,100
ChIJ-xXigQY05xIRkS5eZtK4OTQ,New Fashion Parrucchiere Cagliari,Parrucchiere,"Piazza del Carmine, 30/30, P, 09124 Cagliari CA",377 836 8963,,4.1,226,OPERATIONAL,39.216836199999996,9.1098956,hair_salon,100
ChIJD5_djAg05xIRGxnAfSP5daA,Rossotiziano,Parrucchiere,"Via Barcellona, 17, 09124 Cagliari CA",070 754 2342,,4.8,54,OPERATIONAL,39.214271499999995,9.112878,hair_salon,100
ChIJh8MH8cI15xIRJSIShOq1zwo,Hair Queen di Zuddas Marianna,Parrucchiere,"Via Sebastiano Satta Poeta, 64/66, 09127 Cagliari CA",070 451 1605,,4.9,84,OPERATIONAL,39.2180067,9.1223609,hair_salon,100
ChIJG0-tnLg15xIR-MhQlLFfLTI,LA CLÉ SALON DE BEAUTÉ,Estetica,"Via Goffredo Mameli, 103, 09123 Cagliari CA",070 463 3178,,5,84,OPERATIONAL,39.2190407,9.108297799999999,beauty_salon,100
ChIJ18be73U05xIRrUXkX2ByHDI,Palestra Forma Kalaris,Palestra,"Via Stanislao Caboni, 7, 09125 Cagliari CA",070 307832,,4.7,272,OPERATIONAL,39.211329299999996,9.128222800000001,gym,100
ChIJQYwkQmw15xIRwKvQNaDM4OM,Gymnasium Cagliari Società Sportiva Dilettantistica,Palestra,"Via Goffredo Mameli, 166/a, 09123 Cagliari CA",328 364 1136,,5,85,OPERATIONAL,39.220917199999995,9.1048803,gym,100
ChIJ6dHhq_k15xIRP6lO4B0kKuI,Palestra Sportime '84 Cagliari,Palestra,"Via dei Falletti Fratelli, 1, 09121 Cagliari CA",348 306 9163,,4.6,165,OPERATIONAL,39.234535199999996,9.110835,gym,100
ChIJkTs6pW005xIRKiCq5XFE2Jk,L'Angolo abbigliamento Via Petrarca 21 Cagliari,Abbigliamento,"Via Francesco Petrarca, 21, 09128 Cagliari CA",070 496609,,4.7,44,OPERATIONAL,39.2232882,9.1268876,womens_clothing_store,95
ChIJ__-PaAw05xIRqB3SxtO1yaY,A Modo Nostro Cagliari,Abbigliamento,"Via Giuseppe Garibaldi, 212, 09125 Cagliari CA",070 653555,,4.4,29,OPERATIONAL,39.2179207,9.1197802,clothing_store,95
ChIJzVQp6Q405xIRPuF5wK5zjXA,La Bottega delle Meraviglie,Abbigliamento,"Via Alberto Lamarmora, 82, 09124 Cagliari CA",070 653020,,4.5,36,OPERATIONAL,39.21874580000001,9.116066199999999,clothing_store,95
ChIJ_ZWyUiI05xIRmfHPYU5qcn0,Moda Ligas Maria Grazia,Abbigliamento,"Via Is Mirrionis, 85, 09121 Cagliari CA",070 280201,,4.8,40,OPERATIONAL,39.2355965,9.109398200000001,clothing_store,95
ChIJRVYs6m005xIRasNw8MP8eec,SEMPREDONNA di Pilia Maria Assunta,Abbigliamento,"Via Giovanni Battista Pergolesi, 32, 09128 Cagliari CA",070 400163,,5,26,OPERATIONAL,39.2218525,9.1288619,womens_clothing_store,95
ChIJh1PCvwg05xIRUJ-HcGVv5vM,Vico B,Abbigliamento,"V. Giovanni Maria Dettori, 12, 09124 Cagliari CA",348 922 8619,,4.7,40,OPERATIONAL,39.2159429,9.113784899999999,clothing_store,95
ChIJLZcc_AU05xIR4jpP6ARWjpk,Bifulco Andrea,Scarpe,"Corso Vittorio Emanuele II, 52/54, 09124 Cagliari CA",070 653805,,4.8,46,OPERATIONAL,39.2177053,9.112023299999999,shoe_store,95
ChIJt2kC1Qc05xIRsIG_WZwSVPs,De Riso Calzature,Scarpe,"Via Lodovico Baylle, 23, 09124 Cagliari CA",070 662374,,4.9,31,OPERATIONAL,39.2147832,9.112314,shoe_store,95
ChIJwQLb6Aw05xIRYguYh1VKuZ8,Monik,Accessori moda,"Piazza Antonio Gramsci, 8, 09125 Cagliari CA",388 759 7562,,4.9,37,OPERATIONAL,39.215100299999996,9.119858299999999,store,95
ChIJrXQAnww05xIRWtkYda2e8MA,L'Arca Di Noe - Produzione Pelletteria,Accessori moda,"Via Salvatore Farina, 17, 09128 Cagliari CA",070 653600,,4.6,40,OPERATIONAL,39.2187257,9.122461399999999,store,95
ChIJLyau08k15xIRMJt20CaEU_o,ISTANBUL HAİRSTYLE,Parrucchiere,"Via Santa Margherita, 5A, 09124 Cagliari CA",344 423 5814,,4.9,30,OPERATIONAL,39.21835780000001,9.1137255,hair_salon,95
ChIJfacN9AU05xIREdHwpGcHDc4,Parrucchiere Garau Roberto,Parrucchiere,"Via Domenico Alberto Azuni, 86, 09124 Cagliari CA",070 655410,,4.9,37,OPERATIONAL,39.2184447,9.1120427,hair_salon,95
ChIJLbNkHwQ15xIRKyi4IXkY2iU,MC ESTETICA AVANZATA,Estetica,"Via XXIX Novembre 1847, 65, 09123 Cagliari CA",347 031 4415,,4.8,44,OPERATIONAL,39.2194478,9.1070926,beauty_salon,95
ChIJ9_rkQQY15xIRtwr4jicVrr4,Su.al. Centro Estetico,Estetica,"Piazza Galileo Galilei, 29, 09128 Cagliari CA",070 204 4053,,5,25,OPERATIONAL,39.2203516,9.1228342,beauty_salon,95
ChIJ7bFTgwY05xIRYAtJr5CZ54s,Evergreen - Palestra e Scuola di Danza,Palestra,"Via Maddalena, 32, 09124 Cagliari CA",070 668667,,4.1,40,OPERATIONAL,39.21742,9.10897,fitness_center,95
ChIJWwgt0FU15xIR5Fg_VfRDq2E,Francesca Lecca via Manno,Abbigliamento,"Via Giuseppe Manno, 96, 09124 Cagliari CA",070 462 7980,,4.8,13,OPERATIONAL,39.2169813,9.113639299999999,clothing_store,90
ChIJ8-I4tAg05xIRGdqpyXpUUbo,Inside,Abbigliamento,"P.za Yenne, 43, 09124 Cagliari CA",,,4.2,75,OPERATIONAL,39.217092799999996,9.113659,clothing_store,90
ChIJuf5_Dgk05xIRlRaTj-j6uR4,Paolo Illario Srl,Abbigliamento,"Piazza Martiri D'Italia, 2, 09124 Cagliari CA",070 653925,,4.9,12,OPERATIONAL,39.215502,9.1162233,clothing_store,90
ChIJXWH5Zwk05xIRJFAKuL-A3Jg,Ticalza Di Scalas Omar Cagliari,Scarpe,"Via Giuseppe Garibaldi, 6, 09125 Cagliari CA",070 663771,,4.4,15,OPERATIONAL,39.2157524,9.117283100000002,shoe_store,90
ChIJ_6ognXI05xIRftvvbT3nD4o,Naturalmente Flò,Scarpe,"Piazza S. Benedetto, 7, 09128 Cagliari CA",340 064 7366,,4.9,19,OPERATIONAL,39.2211467,9.125442,shoe_store,90
ChIJ19X-OAo05xIR2dc6s62VUj4,Alina,Bar,"Via Lanusei, 77, 09125 Cagliari CA",,,4.9,65,OPERATIONAL,39.213522,9.1191476,coffee_shop,90
ChIJfcgphQg05xIRYDlx39Iw0TA,Sweet Coffee,Bar,"Via Lodovico Baylle, 61, 09124 Cagliari CA",,,4.7,54,OPERATIONAL,39.2154357,9.112938999999999,coffee_shop,90
ChIJlfRn0gk05xIRifUueu5mJuA,Lithium Cafè,Bar,"V.le Regina Margherita, 4, 09123 Cagliari CA",,,4.4,287,OPERATIONAL,39.212630499999996,9.1152986,coffee_shop,90
ChIJV4yuBtw15xIRJvDRqJMCPso,Glamour Centro Estetico,Estetica,"Via Lanusei, 55, 09125 Cagliari CA",345 029 9435,,4.7,14,OPERATIONAL,39.2138217,9.1188668,beauty_salon,90
ChIJHRkTnBI05xIR6lvU5qLNKs0,Syncrony,Palestra,"Via Alessandro Manzoni, 73, 09128 Cagliari CA",070 754 1781,,4.6,19,OPERATIONAL,39.2221522,9.1216746,gym,90
ChIJFRJ64gk05xIR31C7RTk3KIA,Icone Cagliari,Abbigliamento,"Via XX Settembre, 1, 09125 Cagliari CA",070 680758,,5,8,OPERATIONAL,39.212012,9.117122,clothing_store,85
ChIJi4hm6wg05xIRIEHNpiolnro,LIPPI calzature,Scarpe,"V. Giovanni Maria Dettori, 3, 09124 Cagliari CA",070 656763,,4.8,6,OPERATIONAL,39.215608100000004,9.1142073,shoe_store,85
ChIJp9nf4ws05xIRKXqwHaG__R0,Patrizia Luxury Bags,Accessori moda,"Via Iglesias, 3, 09125 Cagliari CA",070 684 8619,,5,1,OPERATIONAL,39.215841399999995,9.1182561,store,85
ChIJgQf8lgY05xIRuEUA9gTQJQI,Patwary S.a.s. Cagliari,Accessori moda,"Via Maddalena, 22, 09123 Cagliari CA",331 349 5448,,4.7,3,OPERATIONAL,39.2169279,9.108461199999999,jewelry_store,85
ChIJA1mqfgg05xIRc7KlSdpVo-k,Al Ridi Cagliari,Accessori moda,"Via Sardegna, 57, 09124 Cagliari CA",070 757 3122,,4.5,8,OPERATIONAL,39.2145274,9.1127523,gift_shop,85
ChIJBZOck_ltiEcRm6dC3nYIHFw,Esteticamente Elvia Cagliari,Estetica,"Corso Vittorio Emanuele II, 75/A, 09124 Cagliari CA",070 663764,,4,1,OPERATIONAL,39.2180768,9.1117673,beauty_salon,85
ChIJ9cmUql415xIR9swX9vKI7hg,In Corpore Sano ASD Cagliari,Palestra,"Via Luigi Einaudi, 16, 09127 Cagliari CA",347 487 3138,,4.8,9,OPERATIONAL,39.216873199999995,9.120243,gym,85
ChIJpWtjXEY15xIR-PY_IBLkz78,Studio Dott. Marco Campagnola Consulente del Lavoro,Studio professionale,"Via Logudoro, 8, 09127 Cagliari CA",070 654354,,5,1,OPERATIONAL,39.214112400000005,9.120976400000002,service,85
ChIJUfIt7gY05xIRk_HdQc6DXjQ,Studio Professionale Ing. Roberto Chessa,Studio professionale,"Via Roma, 173, 09124 Cagliari CA",070 669264,,5,1,OPERATIONAL,39.216069,9.1089241,service,85
ChIJefpsFYgz5xIRB8S1aN4yDxc,Studio Pillai Monica - Consulente del Lavoro,Studio professionale,"Via dei Colombi, 20, 09126 Cagliari CA",070 301905,,5,4,OPERATIONAL,39.2094731,9.1332566,service,85
ChIJMSiatRY05xIR72kwnVhMjlU,Studio Associato Commercialisti Planta - Mele,Studio professionale,"Via Pasquale Cugia, 43, 09129 Cagliari CA",070 403242,,5,1,OPERATIONAL,39.215469399999996,9.129693699999999,consultant,85
ChIJt-Z9mvUz5xIR8XVAnFtcd_E,Studio Solinas,Studio professionale,"Viale Bonaria, 80, 09125 Cagliari CA",070 498155,,4.4,7,OPERATIONAL,39.211056,9.1197838,consultant,85
ChIJj5zzVAQ05xIRsgrA2_kujXc,Studio Murgia Mannella Dottori Commercialisti Associati,Studio professionale,"Via Palabanda, 12, 09123 Cagliari CA",070 649 0526,,5,1,OPERATIONAL,39.2198669,9.1095232,consultant,85
ChIJ5W9bLig15xIRIehz9hjY8R0,Boutique E Z,Abbigliamento,"Corso Vittorio Emanuele II, 09123 Cagliari CA",,,4,1,OPERATIONAL,39.219347,9.1094695,womens_clothing_store,75
ChIJ_zdczgc05xIRyUWfM5becIs,Idhia Cagliari,Scarpe,"Via Roma, 123-125, 09125 Cagliari CA",070 652865,,3.9,29,OPERATIONAL,39.2144615,9.111499700000001,shoe_store,75
ChIJ9YD24Q405xIRnPDZ3ICb6U0,Bar Gelateria 4 Mori,Gelateria,"Via Corte D'Appello, 35, 09124 Cagliari CA",,,3.9,290,OPERATIONAL,39.2188721,9.115179999999999,ice_cream_shop,70
ChIJoVPo4Ko15xIRJyBPUXnCnuc,Angez accessori,Accessori moda,"Via Enrico Toti, 173, 09134 Cagliari CA",347 731 6636,,0,0,OPERATIONAL,39.2498046,9.124503299999999,store,65
ChIJ77Gj7A405xIRnrvTlAgf9qA,Gelateria,Gelateria,"Piazza Carlo Alberto, 11, 09124 Cagliari CA",,,3.4,49,OPERATIONAL,39.2186898,9.116409899999999,ice_cream_shop,65
ChIJGYC7hnE05xIRYNMxV_3UjtQ,Studio Professionale Associato Boi Dott. Luigi & Usai Dott. Valerio,Studio professionale,"Via Giovanni Battista Tuveri, 33, 09129 Cagliari CA",070 403225,,0,0,OPERATIONAL,39.2190193,9.1293741,consultant,65
ChIJbb2tCgw05xIRgt0mNMtkUTo,ALLAN&DAYLE,Abbigliamento,"Via Giuseppe Garibaldi, 125, 09125 Cagliari CA",070 753 6897,https://www.allandayle.com/,4.8,253,OPERATIONAL,39.217108599999996,9.1194641,clothing_store,50
ChIJfTxPXgk05xIR-Oz3wNETPww,Donnapiu Fashion Cagliari,Abbigliamento,"Via Giuseppe Garibaldi, 25, 09125 Cagliari CA",346 947 9648,http://www.simonadonnapiu.com/,4.9,216,OPERATIONAL,39.2157951,9.117752,store,50
ChIJIzMBxQg05xIRhAU-OYlVKlw,Liu Jo,Abbigliamento,"Via Giuseppe Manno, 11, 09124 Cagliari CA",070 464 0647,https://stores.liujo.com/it/italia/cagliari/cagliari?utm_source=google&utm_medium=GMBSitelink&utm_campaign=GMBSitelink_Cagliari_F071,4.2,96,OPERATIONAL,39.2160069,9.1156113,womens_clothing_store,50
ChIJ32yg5Qs05xIRhURqvU4DjvA,AW LAB,Scarpe,"Via Giuseppe Garibaldi, 55/57/59, 09125 Cagliari CA",070 334 1248,http://www.aw-lab.com/,4.5,84,OPERATIONAL,39.2161222,9.1185507,shoe_store,50
